Subject,Subtopic,Percent Tested,No. of Questions
Civil Procedure,"Jurisdiction and venue","22.2%","5–6"
Civil Procedure,"Pretrial procedures","22.2%","5–6"
Civil Procedure,"Motions","22.2%","5–6"
Civil Procedure,"Law applied by federal courts","8.3%","2–3"
Civil Procedure,"Jury trials","8.3%","2–3"
Civil Procedure,"Verdicts and judgments","8.3%","2–3"
Civil Procedure,"Appealability and review","8.3%","2–3"
Constitutional Law,"Individual rights","50%","12–13"
Constitutional Law,"The nature of judicial review","16.7%","4–5"
Constitutional Law,"The separation of powers","16.7%","4–5"
Constitutional Law,"The relation of nation and states in a federal system (federalism)","16.7%","4–5"
Contracts,"Formation of contracts","25%","6–7"
Contracts,"Performance, breach, and discharge","25%","6–7"
Contracts,"Defenses to enforceability","12.5%","3–4"
Contracts,"Contract content and meaning","12.5%","3–4"
Contracts,"Remedies","12.5%","3–4"
Contracts,"Third-party rights","12.5%","3–4"
Criminal Law and Procedure,"Constitutional protection of accused persons","50%","12–13"
Criminal Law and Procedure,"Homicide","12.5%","3–4"
Criminal Law and Procedure,"Other crimes","12.5%","3–4"
Criminal Law and Procedure,"Inchoate crimes, parties","12.5%","3–4"
Criminal Law and Procedure,"General principles of Criminal Law","12.5%","3–4"
Evidence,"Relevancy and reasons for excluding relevant evidence","33.3%","8–9"
Evidence,"Hearsay and circumstances of its admissibility","25%","6–7"
Evidence,"Presentation of evidence","25%","6–7"
Evidence,"Privileges and other policy exclusions","8.3%","2"
Evidence,"Writings, recordings, and photographs","8.3%","2"
Real Property,"Ownership of real property","20%","5–6"
Real Property,"Rights in real property","20%","5–6"
Real Property,"Real estate contracts","20%","5–6"
Real Property,"Mortgages/security devices","20%","5–6"
Real Property,"Titles","20%","5–6"
Torts,"Negligence","50%","12–13"
Torts,"Intentional torts","16.7%","4–5"
Torts,"Strict liability and products liability","16.7%","4–5"
Torts,"Other torts","16.7%","4–5"
